り	離	り:on, はな:kun
ゆう	融	ゆう:on
へん	編	へん:on, あ:kun
か	華	か:on, はな:kun
き	既	き:on, すで:kun
ふ	普	ふ:on
ごう	豪	ごう:on
かん	鑑	かん:on, かんが:kun
じょ	除	じょ:on, じ:on, のぞ:kun
じん	尋	じん:on, たず:kun, ひろ:kun
いく	幾	いく:kun, き:on
ろう	廊	ろう:on
そう	掃	そう:on, は:kun
でい	泥	でい:on, どろ:kun
ぼう	棒	ぼう:on
きょう	驚	きょう:on, おどろ:kun
たん	嘆	たん:on, なげ:kun
そう	倉	そう:on, くら:kun
そん	孫	そん:on, まご:kun
す	巣	す:kun, そう:on
たい	帯	たい:on, おび:kun
けい	径	けい:on
きゅう	救	きゅう:on, すく:kun
さん	散	さん:on, ち:kun
ふん	粉	ふん:on, こな:kun, こ:kun
みゃく	脈	みゃく:on
さい	菜	さい:on, な:kun
か	貨	か:on
りく	陸	りく:on
ね	似	ね:on, じ:on, に:kun
きん	均	きん:on, ひと:kun
ぼ	墓	ぼ:on, はか:kun
ふ	富	ふ:on, と:kun, とみ:kun
とく	徳	とく:on
たん	探	たん:on, さが:kun, さぐ:kun
てい	偵	てい:on
きゅう	久	きゅう:on, く:on, ひさ:kun
じょ	序	じょ:on, つい:kun, ついで:kun
げい	迎	げい:on, むか:kun
し	志	し:on, こころざし:kun
おん	恩	おん:on
さい	採	さい:on, と:kun
さくら	桜	さくら:kun, おう:on, よう:on
えい	永	えい:on
えき	液	えき:on
がん	眼	がん:on, め:kun
そ	祖	そ:on
せき	績	せき:on
きょう	興	きょう:on, こう:on
えい	衛	えい:on
ふく	複	ふく:on
ざつ	雑	ざつ:on, ぞう:on
さん	賛	さん:on
さん	酸	さん:on, す:kun
せん	銭	せん:on, ぜに:kun
か	飼	か:kun, し:on
しょう	傷	しょう:on, きず:kun, いた:kun
とう	党	とう:on
たまご	卵	たまご:kun, らん:on
げん	厳	げん:on, ごん:on, きび:kun, おごそ:kun
す	捨	す:kun, しゃ:on
こ	込	こ:kun
みつ	密	みつ:on, ひそ:kun
お	汚	お:on, よご:kun, きたな:kun, けが:kun
よく	欲	よく:on, ほ:kun
だん	暖	だん:on, あたた:kun
つくえ	机	つくえ:kun, き:on
ひ	秘	ひ:on, ひ:kun
やく	訳	やく:on, わけ:kun
せん	染	せん:on, しみ:kun, そ:kun, し:kun
かん	簡	かん:on
へい	閉	へい:on, し:kun, と:kun
し	誌	し:on
まど	窓	まど:kun, そう:on
ひ	否	ひ:on, いな:kun, いや:kun
きん	筋	きん:on, すじ:kun
